item	nominal	currency	maturity	period	interest_rate	interest_currency
1	-33000000	EUR	15	1	0.28	USD
1	-33000000	EUR	15	2	0.13	USD
1	-33000000	EUR	15	3	0.02	USD
1	-33000000	EUR	15	4	-0.19	USD
1	-33000000	EUR	15	5	-0.38	USD
1	-33000000	EUR	15	6	-0.52	USD
1	-33000000	EUR	15	7	-0.69	USD
1	-33000000	EUR	15	8	-0.8	USD
1	-33000000	EUR	15	9	-0.93	USD
1	-33000000	EUR	15	10	-1.11	USD
1	-33000000	EUR	15	1	0.53	EUR
1	-33000000	EUR	15	2	0.55	EUR
1	-33000000	EUR	15	3	0.7	EUR
1	-33000000	EUR	15	4	0.74	EUR
1	-33000000	EUR	15	5	0.88	EUR
1	-33000000	EUR	15	6	0.15	EUR
1	-33000000	EUR	15	7	1.13	EUR
1	-33000000	EUR	15	8	1.35	EUR
1	-33000000	EUR	15	9	1.57	EUR
1	-33000000	EUR	15	10	1.74	EUR
2	-46700000	EUR	11	1	0.28	USD
2	-46700000	EUR	11	2	0.13	USD
2	-46700000	EUR	11	3	0.02	USD
2	-46700000	EUR	11	4	-0.19	USD
2	-46700000	EUR	11	5	-0.38	USD
2	-46700000	EUR	11	6	-0.52	USD
2	-46700000	EUR	11	7	-0.69	USD
2	-46700000	EUR	11	8	-0.8	USD
2	-46700000	EUR	11	9	-0.93	USD
2	-46700000	EUR	11	10	-1.11	USD
2	-46700000	EUR	11	1	0.53	EUR
2	-46700000	EUR	11	2	0.55	EUR
2	-46700000	EUR	11	3	0.7	EUR
2	-46700000	EUR	11	4	0.74	EUR
2	-46700000	EUR	11	5	0.88	EUR
2	-46700000	EUR	11	6	0.15	EUR
2	-46700000	EUR	11	7	1.13	EUR
2	-46700000	EUR	11	8	1.35	EUR
2	-46700000	EUR	11	9	1.57	EUR
2	-46700000	EUR	11	10	1.74	EUR
3	49800000	USD	14	1	0.28	USD
3	49800000	USD	14	2	0.13	USD
3	49800000	USD	14	3	0.02	USD
3	49800000	USD	14	4	-0.19	USD
3	49800000	USD	14	5	-0.38	USD
3	49800000	USD	14	6	-0.52	USD
3	49800000	USD	14	7	-0.69	USD
3	49800000	USD	14	8	-0.8	USD
3	49800000	USD	14	9	-0.93	USD
3	49800000	USD	14	10	-1.11	USD
3	49800000	USD	14	1	0.53	EUR
3	49800000	USD	14	2	0.55	EUR
3	49800000	USD	14	3	0.7	EUR
3	49800000	USD	14	4	0.74	EUR
3	49800000	USD	14	5	0.88	EUR
3	49800000	USD	14	6	0.15	EUR
3	49800000	USD	14	7	1.13	EUR
3	49800000	USD	14	8	1.35	EUR
3	49800000	USD	14	9	1.57	EUR
3	49800000	USD	14	10	1.74	EUR
4	-15300000	EUR	12	1	0.28	USD
4	-15300000	EUR	12	2	0.13	USD
4	-15300000	EUR	12	3	0.02	USD
4	-15300000	EUR	12	4	-0.19	USD
4	-15300000	EUR	12	5	-0.38	USD
4	-15300000	EUR	12	6	-0.52	USD
4	-15300000	EUR	12	7	-0.69	USD
4	-15300000	EUR	12	8	-0.8	USD
4	-15300000	EUR	12	9	-0.93	USD
4	-15300000	EUR	12	10	-1.11	USD
4	-15300000	EUR	12	1	0.53	EUR
4	-15300000	EUR	12	2	0.55	EUR
4	-15300000	EUR	12	3	0.7	EUR
4	-15300000	EUR	12	4	0.74	EUR
4	-15300000	EUR	12	5	0.88	EUR
4	-15300000	EUR	12	6	0.15	EUR
4	-15300000	EUR	12	7	1.13	EUR
4	-15300000	EUR	12	8	1.35	EUR
4	-15300000	EUR	12	9	1.57	EUR
4	-15300000	EUR	12	10	1.74	EUR
5	14100000	EUR	16	1	0.28	USD
5	14100000	EUR	16	2	0.13	USD
5	14100000	EUR	16	3	0.02	USD
5	14100000	EUR	16	4	-0.19	USD
5	14100000	EUR	16	5	-0.38	USD
5	14100000	EUR	16	6	-0.52	USD
5	14100000	EUR	16	7	-0.69	USD
5	14100000	EUR	16	8	-0.8	USD
5	14100000	EUR	16	9	-0.93	USD
5	14100000	EUR	16	10	-1.11	USD
5	14100000	EUR	16	1	0.53	EUR
5	14100000	EUR	16	2	0.55	EUR
5	14100000	EUR	16	3	0.7	EUR
5	14100000	EUR	16	4	0.74	EUR
5	14100000	EUR	16	5	0.88	EUR
5	14100000	EUR	16	6	0.15	EUR
5	14100000	EUR	16	7	1.13	EUR
5	14100000	EUR	16	8	1.35	EUR
5	14100000	EUR	16	9	1.57	EUR
5	14100000	EUR	16	10	1.74	EUR
6	45700000	USD	13	1	0.28	USD
6	45700000	USD	13	2	0.13	USD
6	45700000	USD	13	3	0.02	USD
6	45700000	USD	13	4	-0.19	USD
6	45700000	USD	13	5	-0.38	USD
6	45700000	USD	13	6	-0.52	USD
6	45700000	USD	13	7	-0.69	USD
